DCid	Species	GSMID	Factor	Cell_line	Cell_type	Tissue_type	FastQC	UniquelyMappedRatio	PBC	PeaksFoldChangeAbove10	FRiP	PeaksUnionDHSRatio
567	Homo sapiens	GSM558634	VDR	GM10861	Lymphocyte	Blood	31.0	0.8283	0.976	273.0	0.013789500000000001	0.9632
621	Homo sapiens	GSM754332	FOS	GM12878	B Lymphocyte	Blood	25.0	0.6105	0.98	1325.0	0.015313499999999999	0.948416751788
660	Homo sapiens	GSM754331	JUND	GM12878	B Lymphocyte	Blood	27.0	0.7717	0.991	2859.0	0.02743075	0.975
661	Homo sapiens	GSM754333	MAX	GM12878	B Lymphocyte	Blood	27.0	0.6559	0.996	3723.0	0.049266500000000005	0.9676
666	Homo sapiens	GSM754334	MYC	GM12878	B Lymphocyte	Blood	28.0	0.5718	0.9890000000000001	3176.0	0.070131	0.9712
669	Homo sapiens	GSM608158	NR2C2	GM12878	B Lymphocyte	Blood	30.0	0.6199	0.997	753.0	0.009739	0.648648648649
670	Homo sapiens	GSM608157	NR2C2	GM12878	B Lymphocyte	Blood	38.0	0.5801	0.995	344.0	0.00469375	0.7567164179100001
677	Homo sapiens	GSM754330	POLR2A	GM12878	B Lymphocyte	Blood	28.0	0.6369	0.985	4999.0	0.11443775	0.971
691	Homo sapiens	GSM487429	POLR3A	GM12878	B Lymphocyte	Blood	26.0	0.6983	0.902	196.0	0.00320025	0.8617363344050001
731	Homo sapiens	GSM607488	ZNF274	GM12878	B Lymphocyte	Blood	2.0	0.0095	0.9990000000000001	2.0	0.00175598868728	0.666666666667
732	Homo sapiens	GSM607487	ZNF274	GM12878	B Lymphocyte	Blood	38.0	0.513	0.998	125.0	0.00446475	0.666666666667
832	Homo sapiens	GSM518375	CTCF	H1	Embryonic Stem Cell	Embryo	24.0	0.5181	0.941	47100.0	0.378586318468	0.97
955	Homo sapiens	GSM518374	NANOG	H1	Embryonic Stem Cell	Embryo	25.0	0.4003	0.985	15914.0	0.20181	0.9672
966	Homo sapiens	GSM563088	PRDM14	H1	Embryonic Stem Cell	Embryo	27.0	0.6351	0.9890000000000001	3300.0	0.04720275	0.8212
1006	Homo sapiens	GSM640691	EOMES	H9	Embryonic Stem Cell	Embryo	33.0	0.6661	0.973	38783.0	0.264426	0.9702
1007	Homo sapiens	GSM602291	EP300	H9	Embryonic Stem Cell	Embryo	38.0	0.7376	0.978	14933.0	0.21172625	0.9744
1009	Homo sapiens	GSM327665	EZH2	H9	Embryonic Stem Cell	Embryo	37.0	0.6049	0.8540000000000001	26.0	0.0016005	0.678571428571
1010	Homo sapiens	GSM727589	FOXH1	H9	Embryonic Stem Cell	Embryo	29.0	0.7541	0.99	17802.0	0.1653445	0.9002
1011	Homo sapiens	GSM727564	FOXH1	H9	Embryonic Stem Cell	Embryo	31.0	0.7431	0.9940000000000001	5609.0	0.0591255	0.9072
1012	Homo sapiens	GSM768311	FOXP1	H9	Embryonic Stem Cell	Embryo	32.0	0.7784	0.961	2822.0	0.053299	0.9588
1013	Homo sapiens	GSM768310	FOXP1	H9	Embryonic Stem Cell	Embryo	32.0	0.7957	0.96	5075.0	0.08833975	0.9618
1078	Homo sapiens	GSM327669	RNF2	None	Embryonic Stem Cell	None	26.0	0.0172	0.899	46.0	0.0302336958567	0.374045801527
1079	Homo sapiens	GSM327666	RNF2	H9	Embryonic Stem Cell	Embryo	29.0	0.5365	0.425	7.0	0.00099825	0.7402597402600001
1080	Homo sapiens	GSM727584	SMAD2/3	H9	Embryonic Stem Cell	Embryo	30.0	0.7533	0.993	4377.0	0.054228	0.935
1081	Homo sapiens	GSM727583	SMAD2/3	H9	Embryonic Stem Cell	Embryo	30.0	0.7524	0.997	569.0	0.007899	0.8602803738320001
1082	Homo sapiens	GSM727558	SMAD2/3	H9	Embryonic Stem Cell	Embryo	31.0	0.7135	0.99	3010.0	0.05953475	0.9506
1083	Homo sapiens	GSM727557	SMAD2/3	H9	Embryonic Stem Cell	Embryo	31.0	0.7372	0.996	1455.0	0.028589	0.9358
1084	Homo sapiens	GSM727585	SMAD3	H9	Embryonic Stem Cell	Embryo	30.0	0.7379	0.992	1558.0	0.022296	0.943
1085	Homo sapiens	GSM727559	SMAD3	H9	Embryonic Stem Cell	Embryo	31.0	0.7178	0.996	1105.0	0.02529375	0.9492
1086	Homo sapiens	GSM727586	SMAD4	H9	Embryonic Stem Cell	Embryo	30.0	0.7527	0.9940000000000001	3299.0	0.039758499999999995	0.9356
1087	Homo sapiens	GSM727561	SMAD4	H9	Embryonic Stem Cell	Embryo	31.0	0.7151	0.9890000000000001	1069.0	0.02773	0.9394
1140	Homo sapiens	GSM749823	AFF4	HCT-116	None	Colon	38.0	0.7576	0.7440000000000001	71.0	0.00513425	0.48329048843199995
1141	Homo sapiens	GSM749819	AFF4	HCT-116	None	Colon	38.0	0.7522	0.785	67.0	0.0027025	0.6367389060890001
1143	Homo sapiens	GSM749822	ELL2	HCT-116	None	Colon	38.0	0.7055	0.8759999999999999	389.0	0.00366225	0.692216280452
1144	Homo sapiens	GSM749818	ELL2	HCT-116	None	Colon	37.0	0.6936	0.8270000000000001	222.0	0.00371525	0.65250965251
1151	Homo sapiens	GSM749821	POLR2A	HCT-116	None	Colon	37.0	0.7659	0.8859999999999999	7207.0	0.08441825	0.9714
1152	Homo sapiens	GSM749817	POLR2A	HCT-116	None	Colon	38.0	0.7958	0.867	12179.0	0.20777225	0.9758
1168	Homo sapiens	GSM509047	POLR3G	HEK293T	Epithelium	Embryonic Kidney	31.0	0.7272	0.853	111.0	0.00326075	0.777777777778
1172	Homo sapiens	GSM700361	ELK4	HEK293	Epithelium	Embryonic Kidney	36.0	0.6947	0.995	120.0	0.00219225	0.869399428027
1173	Homo sapiens	GSM700360	ELK4	HEK293	Epithelium	Embryonic Kidney	39.0	0.7212	0.951	249.0	0.00477325	0.943925233645
1174	Homo sapiens	GSM700357	TRIM28	HEK293	Epithelium	Embryonic Kidney	37.0	0.506	0.996	100.0	0.0067075	0.9556
1175	Homo sapiens	GSM700356	TRIM28	HEK293	Epithelium	Embryonic Kidney	33.0	0.6395	0.9940000000000001	1757.0	0.04245825	0.7772
1176	Homo sapiens	GSM700355	TRIM28	HEK293	Epithelium	Embryonic Kidney	34.0	0.6771	0.997	37.0	0.00164225	0.7732997481110001
1177	Homo sapiens	GSM700354	TRIM28	HEK293	Epithelium	Embryonic Kidney	33.0	0.5571	0.991	44.0	0.00298	0.933843384338
1178	Homo sapiens	GSM700353	TRIM28	HEK293	Epithelium	Embryonic Kidney	37.0	0.4166	0.993	512.0	0.04391325	0.9028
1191	Homo sapiens	GSM301567	POLR2A	HEK293	Epithelium	Embryonic Kidney	31.0	0.5524	0.992	802.0	0.0459590656047	0.972150713784
1192	Homo sapiens	GSM301566	POLR2A	HEK293	Epithelium	Embryonic Kidney	39.0	0.6753	0.9890000000000001	1866.0	0.080143284693	0.9732
1194	Homo sapiens	GSM700359	TRIM28	HEK293	Epithelium	Embryonic Kidney	36.0	0.6504	0.996	1006.0	0.04427275	0.742
1195	Homo sapiens	GSM700358	TRIM28	HEK293	Epithelium	Embryonic Kidney	36.0	0.6661	0.996	355.0	0.011211886736899998	0.7628
1196	Homo sapiens	GSM501711	BDP1	HeLa	Epithelium	Cervix	30.0	0.6152	0.998	137.0	0.001029	0.815384615385
1197	Homo sapiens	GSM509049	BRF1	HeLa	Epithelium	Cervix	25.0	0.7634	0.9540000000000001	201.0	0.0047435	0.8052884615379999
1198	Homo sapiens	GSM509050	BRF2	HeLa	Epithelium	Cervix	25.0	0.7689	0.958	49.0	0.00277225	0.691176470588
1203	Homo sapiens	GSM325897	CTCF	HeLa	Epithelium	Cervix	17.0	0.40399999999999997	0.951	4303.0	0.04844538930319999	0.9668
1208	Homo sapiens	GSM593999	DDX5	HeLa	Epithelium	Cervix	33.0	0.6525	0.986	99.0	0.015444	0.9044
1212	Homo sapiens	GSM558469	E2F1	HeLa	Epithelium	Cervix	28.0	0.5257	0.988	1767.0	0.03510575	0.9574
1213	Homo sapiens	GSM608163	ELK1	HeLa-S3	Epithelium	Cervix	34.0	0.4463	0.978	624.0	0.00794925	0.959099556119
1214	Homo sapiens	GSM608162	ELK4	HeLa-S3	Epithelium	Cervix	34.0	0.4886	0.9390000000000001	1082.0	0.014741999999999998	0.9688
1215	Homo sapiens	GSM608161	ELK4	HeLa-S3	Epithelium	Cervix	38.0	0.5641	0.976	746.0	0.010744	0.964232929353
1218	Homo sapiens	GSM566161	GATAD1	HeLa	Epithelium	Cervix	31.0	0.787	0.937	504.0	0.0235765	0.9674
1219	Homo sapiens	GSM566155	GATAD1	HeLa	Epithelium	Cervix	31.0	0.787	0.932	1363.0	0.10633275	0.9746
1220	Homo sapiens	GSM566167	LRWD1	HeLa	Epithelium	Cervix	31.0	0.7314	0.9590000000000001	47.0	0.00226825	0.8155339805830001
1221	Homo sapiens	GSM566166	GLYR1	HeLa	Epithelium	Cervix	31.0	0.7876	0.919	36.0	0.00318275	0.861236802413
1222	Homo sapiens	GSM566164	TRRAP	HeLa	Epithelium	Cervix	37.0	0.8398	0.982	178.0	0.00498025	0.928038777032
1223	Homo sapiens	GSM566163	C17orf49	HeLa	Epithelium	Cervix	36.0	0.8390000000000001	0.973	414.0	0.01304375	0.9594
1224	Homo sapiens	GSM566162	CCDC101	HeLa	Epithelium	Cervix	37.0	0.8340000000000001	0.98	321.0	0.0061649999999999995	0.9300940438869999
1225	Homo sapiens	GSM566160	GLYR1	HeLa	Epithelium	Cervix	32.0	0.7782	0.888	67.0	0.00769225	0.912737799835
1226	Homo sapiens	GSM566158	TRRAP	HeLa	Epithelium	Cervix	32.0	0.7587	0.85	561.0	0.029836	0.9666
1227	Homo sapiens	GSM566157	C17orf49	HeLa	Epithelium	Cervix	31.0	0.7638	0.922	674.0	0.02169075	0.9608
1228	Homo sapiens	GSM566156	CCDC101	HeLa	Epithelium	Cervix	31.0	0.7956	0.9570000000000001	463.0	0.009715999999999999	0.958333333333
1229	Homo sapiens	GSM509056	GTF3C1	HeLa	Epithelium	Cervix	31.0	0.7625	0.9590000000000001	164.0	0.0042115	0.832641770401
1230	Homo sapiens	GSM501712	GTF3C1	HeLa	Epithelium	Cervix	30.0	0.6214	0.998	36.0	0.00094025	0.708074534161
1231	Homo sapiens	GSM335960	H2AZ	HeLa	Epithelium	Cervix	37.0	0.6323	0.981	2639.0	0.08131525	0.9666
1232	Homo sapiens	GSM335956	H2AZ	HeLa	Epithelium	Cervix	32.0	0.3701	0.98	2048.0	0.04225625	0.9698
1298	Homo sapiens	GSM608160	NR2C2	HeLa-S3	Epithelium	Cervix	26.0	0.4239	0.991	1707.0	0.03043875	0.943636363636
1299	Homo sapiens	GSM608159	NR2C2	HeLa-S3	Epithelium	Cervix	29.0	0.622	0.993	1167.0	0.01790325	0.905374959768
1300	Homo sapiens	GSM604663	NR3C1	HeLa	Epithelium	Cervix	37.0	0.8175	0.935	3277.0	0.04051225	0.9668
1301	Homo sapiens	GSM604662	NR3C1	HeLa	Epithelium	Cervix	36.0	0.8189	0.917	114.0	0.00360325	0.924042686755
1302	Homo sapiens	GSM604653	NR3C1	HeLa	Epithelium	Cervix	37.0	0.7875	0.89	180.0	0.0054399999999999995	0.937994173949
1303	Homo sapiens	GSM604652	NR3C1	HeLa	Epithelium	Cervix	37.0	0.8119	0.823	93.0	0.00309025	0.837355718783
1304	Homo sapiens	GSM604651	NR3C1	HeLa	Epithelium	Cervix	31.0	0.8144	0.99	1426.0	0.018895500000000003	0.9682
1305	Homo sapiens	GSM604650	NR3C1	HeLa	Epithelium	Cervix	31.0	0.8029	0.9890000000000001	35.0	0.001465	0.811659192825
1306	Homo sapiens	GSM604649	NR3C1	HeLa	Epithelium	Cervix	31.0	0.8057	0.987	1830.0	0.0233405	0.9638
1307	Homo sapiens	GSM604648	NR3C1	HeLa	Epithelium	Cervix	30.0	0.8016	0.99	61.0	0.00196925	0.847058823529
1308	Homo sapiens	GSM566165	PHF8	HeLa	Epithelium	Cervix	37.0	0.8421	0.9740000000000001	496.0	0.03873675	0.9608
1309	Homo sapiens	GSM566159	PHF8	HeLa	Epithelium	Cervix	31.0	0.7827	0.9109999999999999	1454.0	0.10297	0.9742
1312	Homo sapiens	GSM558470	PHF8	HeLa	Epithelium	Cervix	27.0	0.1816	0.988	3608.0	0.070012266554	0.9620000000000001
1313	Homo sapiens	GSM531964	PHF8	HeLa	Epithelium	Cervix	38.0	0.7029	0.958	320.0	0.00605625	0.944241316271
1314	Homo sapiens	GSM520381	PHF8	HeLa	Epithelium	Cervix	25.0	0.5689	0.99	8839.0	0.13254175	0.9752
1315	Homo sapiens	GSM766172	POLR2A	HeLa	Epithelium	Cervix	38.0	0.3692	0.976	662.0	0.046850038882099994	0.9663411593600001
1316	Homo sapiens	GSM766171	POLR2A	HeLa	Epithelium	Cervix	4.0	0.4666	0.948	1076.0	0.0453180818349	0.9612
1319	Homo sapiens	GSM604667	POLR2A	HeLa	Epithelium	Cervix	30.0	0.8287	0.9840000000000001	2265.0	0.06200775	0.966
1320	Homo sapiens	GSM604666	POLR2A	HeLa	Epithelium	Cervix	31.0	0.8228	0.981	3943.0	0.09554	0.9706
1321	Homo sapiens	GSM604665	POLR2A	HeLa	Epithelium	Cervix	30.0	0.8190000000000001	0.978	3700.0	0.09990399999999999	0.9708
1322	Homo sapiens	GSM604664	POLR2A	HeLa	Epithelium	Cervix	30.0	0.8192	0.986	3319.0	0.0871265	0.9694
1327	Homo sapiens	GSM320735	POLR2A	HeLa-S3	Epithelium	Cervix	54.0	0.6762	0.961	43.0	0.007215000000000001	0.954428424305
1328	Homo sapiens	GSM320734	POLR2A	HeLa-S3	Epithelium	Cervix	56.0	0.6955	0.97	11261.0	0.451122	0.9762
1329	Homo sapiens	GSM501710	POLR3A	HeLa	Epithelium	Cervix	29.0	0.59	0.997	231.0	0.00254375	0.8477690288709999
1330	Homo sapiens	GSM509053	POLR3G	HeLa	Epithelium	Cervix	31.0	0.6269	0.251	40.0	0.00370725	0.780104712042
1331	Homo sapiens	GSM509052	POLR3G	HeLa	Epithelium	Cervix	25.0	0.7211	0.975	152.0	0.0036395000000000004	0.8043478260870001
1332	Homo sapiens	GSM357351	POU2F1	HeLa	Epithelium	Cervix	43.0	0.1886	0.28800000000000003	11.0	0.000517677588759	0.928571428571
1333	Homo sapiens	GSM604661	RELA	HeLa	Epithelium	Cervix	37.0	0.8118	0.9359999999999999	595.0	0.0047285	0.9473684210529999
1334	Homo sapiens	GSM604660	RELA	HeLa	Epithelium	Cervix	37.0	0.8253	0.84	47.0	0.00284525	0.721739130435
1335	Homo sapiens	GSM604659	RELA	HeLa	Epithelium	Cervix	30.0	0.813	0.9840000000000001	3127.0	0.0353995	0.966
1336	Homo sapiens	GSM604658	RELA	HeLa	Epithelium	Cervix	30.0	0.8127	0.985	3747.0	0.043956	0.9686
1337	Homo sapiens	GSM604657	RELA	HeLa	Epithelium	Cervix	31.0	0.7967	0.9840000000000001	196.0	0.00252475	0.920741989882
1338	Homo sapiens	GSM604656	RELA	HeLa	Epithelium	Cervix	31.0	0.8011	0.981	272.0	0.0034659999999999995	0.937888198758
1339	Homo sapiens	GSM604655	RELA	HeLa	Epithelium	Cervix	37.0	0.8124	0.909	945.0	0.008556	0.9384
1340	Homo sapiens	GSM604654	RELA	HeLa	Epithelium	Cervix	37.0	0.8134	0.8340000000000001	117.0	0.001997	0.824933687003
1344	Homo sapiens	GSM601399	SMARCA4	HeLa	Epithelium	Cervix	24.0	0.7529	0.993	85.0	0.00764625	0.9407606045829999
1345	Homo sapiens	GSM601398	SMARCB1	HeLa	Epithelium	Cervix	24.0	0.6427	0.9890000000000001	393.0	0.06535099999999999	0.9694
1346	Homo sapiens	GSM601400	SMARCC1	HeLa	Epithelium	Cervix	3.0	0.5984	0.993	237.0	0.037923	0.9788
1347	Homo sapiens	GSM601401	SMARCC2	HeLa	Epithelium	Cervix	3.0	0.5539999999999999	0.993	158.0	0.01159675	0.9606
1348	Homo sapiens	GSM558473	SMC4	HeLa	Epithelium	Cervix	31.0	0.7257	0.8270000000000001	26.0	0.00079625	0.644444444444
1349	Homo sapiens	GSM385515	STAT1	HeLa-S3	Epithelium	Cervix	31.0	0.4882	0.961	13.0	0.00076891525403	0.9148936170209999
1350	Homo sapiens	GSM385514	STAT1	HeLa-S3	Epithelium	Cervix	34.0	0.3514	0.9390000000000001	3.0	0.000734956555433	0.692307692308
1351	Homo sapiens	GSM385513	STAT1	HeLa-S3	Epithelium	Cervix	33.0	0.3487	0.938	1.0	0.000795605987713	0.642857142857
1352	Homo sapiens	GSM385512	STAT1	HeLa-S3	Epithelium	Cervix	38.0	0.5781	0.929	9.0	0.00108657529096	0.712121212121
1353	Homo sapiens	GSM385511	STAT1	HeLa-S3	Epithelium	Cervix	30.0	0.573	0.8190000000000001	2.0	0.000448009600785	0.25
1354	Homo sapiens	GSM385510	STAT1	HeLa-S3	Epithelium	Cervix	30.0	0.5751	0.833	2.0	0.000502890615256	0.4
1355	Homo sapiens	GSM385509	STAT1	HeLa-S3	Epithelium	Cervix	30.0	0.5722	0.856	1.0	0.000427398113974	0.33333333333299997
1356	Homo sapiens	GSM385508	STAT1	HeLa-S3	Epithelium	Cervix	30.0	0.4865	0.961	1983.0	0.060352949510000004	0.946
1357	Homo sapiens	GSM385507	STAT1	HeLa-S3	Epithelium	Cervix	3.0	0.4789	0.9590000000000001	2035.0	0.060937255262699996	0.9434
1358	Homo sapiens	GSM385506	STAT1	HeLa-S3	Epithelium	Cervix	32.0	0.4755	0.9490000000000001	1415.0	0.043866238943800005	0.934244037972
1359	Homo sapiens	GSM385505	STAT1	HeLa-S3	Epithelium	Cervix	38.0	0.6081	0.951	2597.0	0.0713946845916	0.9354
1360	Homo sapiens	GSM385504	STAT1	HeLa-S3	Epithelium	Cervix	30.0	0.6182	0.851	417.0	0.0311139031645	0.9540517961570001
1361	Homo sapiens	GSM385503	STAT1	HeLa-S3	Epithelium	Cervix	30.0	0.6172	0.852	438.0	0.0319904938558	0.9545098039219999
1362	Homo sapiens	GSM320736	STAT1	HeLa-S3	Epithelium	Cervix	56.0	0.5314	0.988	6978.0	0.1527895	0.9358
1367	Homo sapiens	GSM607486	ZNF274	HeLa	Epithelium	Cervix	36.0	0.6339	0.996	85.0	0.00286025	0.6143437077130001
1368	Homo sapiens	GSM607485	ZNF274	HeLa	Epithelium	Cervix	31.0	0.6904	0.991	40.0	0.001117	0.705314009662
1374	Homo sapiens	GSM614634	CEBPA	HepG2	Epithelium	Liver	30.0	0.7619	0.975	27111.0	0.19677	0.9306
1375	Homo sapiens	GSM614633	CEBPA	HepG2	Epithelium	Liver	29.0	0.7196	0.976	23867.0	0.19185875	0.937
1380	Homo sapiens	GSM614637	CTCF	HepG2	Epithelium	Liver	33.0	0.8353	0.9620000000000001	63332.0	0.4538235	0.9764
1381	Homo sapiens	GSM614636	CTCF	HepG2	Epithelium	Liver	33.0	0.8246	0.9640000000000001	28216.0	0.2761695	0.9758
1382	Homo sapiens	GSM614631	CTCF	HepG2	Epithelium	Liver	30.0	0.8183	0.963	41228.0	0.34348449999999997	0.9638
1383	Homo sapiens	GSM614630	CTCF	HepG2	Epithelium	Liver	28.0	0.7905	0.9640000000000001	38581.0	0.35459775	0.9638
1447	Homo sapiens	GSM614632	HNF4A	HepG2	Epithelium	Liver	31.0	0.8149	0.9620000000000001	19797.0	0.20049125	0.9442
1448	Homo sapiens	GSM469864	HNF4A	HepG2	Epithelium	Liver	31.0	0.7825	0.982	2855.0	0.02823475	0.9132
1449	Homo sapiens	GSM469863	HNF4A	HepG2	Epithelium	Liver	31.0	0.7857	0.9840000000000001	4275.0	0.04189325	0.9216
1452	Homo sapiens	GSM469865	HNF4G	HepG2	Epithelium	Liver	31.0	0.7608	0.981	34.0	0.00196425	0.701754385965
1463	Homo sapiens	GSM608156	NR2C2	HepG2	Epithelium	Liver	29.0	0.6477	0.99	1077.0	0.0154545	0.947450369794
1464	Homo sapiens	GSM608155	NR2C2	HepG2	Epithelium	Liver	26.0	0.752	0.9840000000000001	1429.0	0.026104000000000002	0.9338209683040001
1470	Homo sapiens	GSM614629	RAD21	HepG2	Epithelium	Liver	31.0	0.8079	0.948	21538.0	0.18248225	0.9678
1471	Homo sapiens	GSM614628	RAD21	HepG2	Epithelium	Liver	28.0	0.7788	0.955	18066.0	0.14811175	0.968
1492	Homo sapiens	GSM614627	STAG1	HepG2	Epithelium	Liver	31.0	0.8451	0.955	37284.0	0.38964775	0.9676
1493	Homo sapiens	GSM614626	STAG1	HepG2	Epithelium	Liver	30.0	0.8228	0.955	34790.0	0.38689775	0.9688
1507	Homo sapiens	GSM607484	ZNF274	HepG2	Epithelium	Liver	33.0	0.7537	0.998	39.0	0.003749	0.7252252252249999
1508	Homo sapiens	GSM607483	ZNF274	HepG2	Epithelium	Liver	37.0	0.3147	0.983	147.0	0.00743	0.6261398176290001
1628	Homo sapiens	GSM520384	PHF8	Hs68	Fibroblast	Foreskin	29.0	0.6852	0.966	982.0	0.021291	0.9624
1629	Homo sapiens	GSM520383	PHF8	Hs68	Fibroblast	Foreskin	26.0	0.5556	0.983	301.0	0.00882225	0.95041322314
1740	Homo sapiens	GSM730704	FOS	None	Endothelial Cell	Umbilical Vein	39.0	0.8482	0.9690000000000001	21390.0	0.14044075	0.983
1741	Homo sapiens	GSM730703	FOS	None	Endothelial Cell	Umbilical Vein	37.0	0.7174	0.8909999999999999	8905.0	0.09144275	0.9788
1742	Homo sapiens	GSM730702	GATA2	None	Endothelial Cell	Umbilical Vein	33.0	0.5654	0.8859999999999999	10581.0	0.16123225	0.9846
